team,group,elo,rating,avg_odds,p_win_group,p_advance,p_R32,p_R16,p_QF,p_SF,p_Final,p_Champion,exp_group_goals,avg_ko_matches
Ecuador,E,1835,1816.8,81.0,0.28,0.8689,0.8689,0.4779,0.254,0.084,0.0322,0.0103,5.14,1.72
Senegal,I,1858,1861.3,91.0,0.1548,0.7328,0.7328,0.3442,0.1425,0.0656,0.0236,0.0092,4.27,1.31
Austria,J,1825,1827.0,151.0,0.1974,0.8414,0.8324,0.3408,0.1285,0.0541,0.0174,0.0062,5.0,1.37
Canada,B,1800,1730.5,176.0,0.4,0.8684,0.8684,0.4874,0.2252,0.0787,0.022,0.0061,5.17,1.68
Turkey,D,1833,1706.1,99.0,0.2163,0.7098,0.5724,0.2695,0.1117,0.035,0.009,0.0019,4.03,1.0
Sweden,F,1845,1735.7,99.0,0.1338,0.6135,0.3937,0.1695,0.0721,0.021,0.0047,0.0015,3.72,0.66
Ivory Coast,E,1760,1666.7,99.0,0.12,0.6766,0.6766,0.2698,0.095,0.0208,0.0054,0.0013,4.08,1.07
Australia,D,1785,1648.7,99.0,0.1498,0.6109,0.4668,0.1887,0.0698,0.0188,0.0036,0.0007,3.64,0.75
Scotland,C,1742,1646.6,99.0,0.0899,0.6179,0.6179,0.221,0.0628,0.0185,0.0035,0.0007,3.9,0.92
Iran,G,1775,1628.4,99.0,0.2044,0.7688,0.7688,0.2371,0.0645,0.0109,0.0031,0.0006,4.53,1.08
Czechia,A,1812,1644.7,99.0,0.1656,0.6506,0.6506,0.2252,0.0705,0.0202,0.0035,0.0006,3.78,0.97
South Korea,A,1818,1636.0,99.0,0.1549,0.6358,0.6358,0.2165,0.0622,0.0173,0.0034,0.0006,3.73,0.94
Algeria,J,1790,1683.3,99.0,0.085,0.6442,0.6302,0.1752,0.044,0.012,0.0025,0.0005,3.96,0.86
Bosnia and Herzegovina,B,1710,1613.8,99.0,0.1256,0.5751,0.5751,0.2188,0.0682,0.0154,0.0031,0.0005,3.61,0.88
DR Congo,K,1718,1641.4,99.0,0.0648,0.5053,0.595,0.1548,0.0322,0.0081,0.0017,0.0004,3.48,0.79
Saudi Arabia,H,1748,1610.2,99.0,0.044,0.4937,0.3986,0.0909,0.0181,0.0044,0.0012,0.0002,3.43,0.51
Paraguay,D,1765,1583.0,99.0,0.0996,0.4836,0.3504,0.1177,0.0356,0.008,0.0015,0.0001,3.27,0.51
Tunisia,F,1730,1598.7,99.0,0.0541,0.3567,0.2032,0.064,0.0201,0.0038,0.0008,0.0001,3.04,0.29
Iraq,I,1645,1552.5,99.0,0.0197,0.202,0.202,0.0412,0.0072,0.0018,0.0002,0.0,2.62,0.25
Egypt,G,1672,1501.8,99.0,0.0644,0.424,0.424,0.0812,0.0168,0.002,0.0004,0.0,3.22,0.52
Ghana,L,1662,1531.3,99.0,0.0369,0.4522,0.4404,0.0797,0.013,0.002,0.0003,0.0,3.26,0.54
New Zealand,G,1615,1433.0,99.0,0.0643,0.495,0.495,0.0776,0.0117,0.0009,0.0002,0.0,3.29,0.59
Qatar,B,1668,1515.6,99.0,0.0679,0.3885,0.3885,0.112,0.0264,0.0052,0.0005,0.0,3.12,0.53
South Africa,A,1698,1553.1,99.0,0.0901,0.4818,0.4818,0.1294,0.03,0.0074,0.001,0.0,3.26,0.65
Uzbekistan,K,1650,1521.9,99.0,0.0282,0.2859,0.3309,0.0614,0.0096,0.0014,0.0002,0.0,2.78,0.4
Cape Verde,H,1625,1455.5,99.0,0.0122,0.2257,0.1755,0.0244,0.0025,0.0004,0.0001,0.0,2.52,0.2
Curaçao,E,1565,1383.0,99.0,0.0168,0.1977,0.1977,0.0352,0.0056,0.0005,0.0,0.0,2.56,0.24
Haiti,C,1582,1400.0,99.0,0.0135,0.1947,0.1947,0.034,0.0051,0.0006,0.0,0.0,2.53,0.23
Jordan,J,1595,1413.0,99.0,0.0118,0.1876,0.183,0.0218,0.0028,0.0005,0.0,0.0,2.45,0.21
Panama,L,1602,1420.0,99.0,0.0136,0.2507,0.2381,0.0294,0.0033,0.0005,0.0,0.0,2.6,0.27
